Nr sieciowy|Nr fabryczny|Kod błędu|Kod błędu (2 przet)|Data|Czas|Czas pracy (h)|Czas pracy z błędem (h)|Energia|Objętość (m3)|Obj (2 przet) (m3)|Różnica objętości (m3)|Wejście dod 1|Wejście dod 2|Wejście dod 3|Wejście dod 4|Przepływ (m3/h)|Przepływ chwilowy 2 (m3/h)|Różnica przepływu (m3/h)|Moc|T zasilania (C)|T powrotu (C)|T różnica (C)|En rej chłodu|En taryfa 1|En taryfa 2|Obj rej chłodu (m3)|Obj taryfa 1 (m3)|Obj taryfa 2 (m3)|Obj masowa 1 (m3)|Obj masowa 2 (m3)|Różnica obj mas (m3)|Data zapisu maks|Przepływ maks z mies (m3/h)|Moc maks z mies|Data zapisu śr|Przeplyw śr z doby (m3/h)|T zas śr z doby (C)|T pow śr z doby (C)|Data zapisu arch rozl|En arch rozl|En dod arch rozl|En tar1 arch rozl|En tar2 arch rozl|Obj arch rozl (m3)|Wd1 arch rozl|Wd2 arch rozl|Wd3 arch rozl|Wd4 arch rozl|Adres
27|00500908|0||19-12-11|10m21s07|91032|3223|98,414[GJ]|1367,304|||316,755[m3]|0,001[m3]|0,005[m3]|0,000[m3]|0,000|||0,00[kW]|67,7|28,5|39,2|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 4/13
28|01280908|0||19-12-11|10m21s11|95746|452|147,241[GJ]|2468,976|||441,569[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,000|||0,00[kW]|70,6|29,4|41,2|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 4/14
29|21010508|0||19-12-11|10m21s16|60609|1580|95,556[GJ]|1735,535|||538,574[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,086|||1,59[kW]|75,7|59,3|16,4|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 4/15
2a|20470608|0||19-12-11|10m21s20|100439|5196|171,158[GJ]|14787,906|||393,964[m3]|0,001[m3]|0,000[m3]|0,000[m3]|0,166|||4,99[kW]|75,6|52,1|23,5|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 4/16
2b|08220808|0||19-12-11|10m21s24|23521406|66667142|126,809[GJ]|2253,904|||330,898[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,014|||0,60[kW]|76,0|38,5|37,5|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 4/17
2c|08290808|0||19-12-11|10m21s28|97041|1242|94,738[GJ]|1037,722|||638,908[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,015|||0,83[kW]|77,6|28,9|48,7|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 4/18
2d|10020108|0||19-12-11|10m21s32|91071|1728|216,319[GJ]|2575,992|||551,591[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,033|||1,01[kW]|75,2|48,4|26,8|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 4/19
2e|20430608|0||19-12-11|10m21s37|100438|5000|102,329[GJ]|1506,894|||617,420[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,014|||0,51[kW]|75,2|43,2|32,0|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 4/20
2f|01300908|0||19-12-11|10m21s41|95668|1396|118,207[GJ]|1245,218|||455,288[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,000|||0,00[kW]|65,6|32,5|33,1|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 4/21
30|01700108|0||19-12-11|10m21s45|97031|4295|85,604[GJ]|2312,213|||247,822[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,007|||0,35[kW]|74,6|30,8|43,8|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 4/22
31|00991105|0||19-12-11|10m21s49|116483|3392|92,267[GJ]|2559,750|||499,021[m3]|0,000[m3]|0,000[m3]|400,808[m3]|0,000|||0,00[kW]|61,4|36,2|25,2|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 4/23
32|15770608|0||19-12-11|10m21s53|99997|4720|131,164[GJ]|3058,228|||826,526[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,165|||0,92[kW]|76,3|71,3|5,0|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 4/24
33|04210308|0||19-12-11|10m21s58|90758|659|108,709[GJ]|2820,971|||24,836[m3]|119,256[m3]|88,131[m3]|142,565[m3]|0,000|||0,00[kW]|45,1|43,5|1,6|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||SOCJALNE Wielewska 4
34|10370312|0||19-12-11|10m22s02|24529|7250|908,20[GJ]|21071,30|||0,000[m3]|0,000[m3]|0,001[m3]|0,698[m3]|0,94|||23,8[kW]|97,3|75,0|22,3|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wezel cieplny W4
35|28610309|0||19-12-11|10m22s06|92608|5302|122,597[GJ]|1138,889|||833,812[m3]|0,003[m3]|0,000[m3]|0,000[m3]|0,000|||0,00[kW]|71,1|30,5|40,6|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 2/1
36|28430309|0||19-12-11|10m22s10|88379|1501|153,432[GJ]|1461,094|||770,021[m3]|0,000[m3]|0,010[m3]|0,000[m3]|0,000|||0,00[kW]|74,7|26,7|48,0|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 2/2
37|28480309|0||19-12-11|10m22s15|92564|669|151,410[GJ]|1176,714|||581,940[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,037|||1,53[kW]|78,1|42,1|36,0|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 2/3
38|28750309|0||19-12-11|10m22s19|92610|4690|83,738[GJ]|763,100|||484,461[m3]|0,002[m3]|0,007[m3]|0,016[m3]|0,000|||0,00[kW]|76,0|27,1|48,9|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 2/4
39|07750709|0||19-12-11|10m22s23|89254|305|123,366[GJ]|1677,263|||838,277[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,009|||0,32[kW]|76,4|39,9|36,5|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 2/5
3a|28710309|0||19-12-11|10m22s27|92607|167|128,056[GJ]|1330,484|||919,300[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,000|||0,00[kW]|68,2|42,9|25,3|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 2/6
3b|22910309|0||19-12-11|10m22s31|79080|3554|109,474[GJ]|1108,283|||618,172[m3]|0,000[m3]|0,001[m3]|0,000[m3]|0,000|||0,00[kW]|96,8|64,7|32,1|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 2/7
3c|28340309|0||19-12-11|10m22s36|92614|1595|110,034[GJ]|1040,644|||806,357[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,004|||0,21[kW]|76,1|30,0|46,1|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 2/8
3d|27430309|0||19-12-11|10m22s40|92479|2780|102,527[GJ]|1194,808|||1017,747[m3]|0,106[m3]|0,000[m3]|0,064[m3]|0,000|||0,00[kW]|64,2|45,9|18,3|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 2/9
3e|23090309|0||19-12-11|10m22s44|92706|199|100,710[GJ]|1028,455|||686,446[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,000|||0,00[kW]|71,0|44,0|27,0|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 2/10
3f|27810309|0||19-12-11|10m22s48|92610|732|123,699[GJ]|1145,994|||818,544[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,024|||1,17[kW]|76,5|33,9|42,6|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 2/11
40|28660309|0||19-12-11|10m22s52|78684|2245|207,402[GJ]|5247,680|||408,272[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,013|||0,50[kW]|76,1|42,3|33,8|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 2/12
41|17700507|0||19-12-11|10m22s57|89142|2862|15,301[GJ]|279,473|||93,078[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,000|||0,00[kW]|64,0|39,2|24,8|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 2/13
